,Id,mother_id,mother_name,father_id,father_name,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Description,Birth,Death
125,126,,,,,Scorpius Hyperion Malfoy,Male,Student,Slytherin,Unknown,Unknown,Human ,Pure-blood,White blond,Grey,,,"Scorpius Malfoy is the son of Draco Malfoy and Astoria Greengrass. Scorpius greatly resembles his father Draco (DH/e, CC). An only child, Scorpius, along with his mother and father, lives apart from the wizarding world due to Astoria’s illness (CC4.4). To the disapproval of his grandparents, Lucius and… ",Between 1 September 2005-31 August 2007,
126,127,,,,,Edward Remus Lupin,Male,Student,Hufflepuff,Unknown,Unknown,Human (Metamorphmagus),Half-blood,Variable,Variable,,,,April  1998,
127,128,,,,,James Sirius Potter,Male,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,,,,,James Sirius Potter is the eldest child of Harry Potter and Ginny Weasley (DH/e). James started attending Hogwarts on 1st September 2015 and was sorted into Gryffindor (JKR:Tw). Along with his father and brother he visited the Bulgarian encampment at the 2014 Quidditch World Cup and was in… ,1 September 2003-31 August 2004,
128,129,,,,,Rose Granger-Weasley,Female,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,Red,,,Chaser,"Rose Granger-Weasley is the older of Ron Weasley and Hermione Granger’s two children, and their only daughter. She is sorted into Gryffindor House at Hogwarts. On 1 September 2017, Rose was preparing to take the Hogwarts Express to her first year at school, and was nervous about the sorting (DH/e). Hermione… ",1 September 2005-31 August 2006 ,
129,130,,,,,Argus Filch,Male,Caretaker of Hogwarts,,,,Human ,Squib,Grey,Pale,Hogwarts School of Witchcraft and Wizardry,Sniffing out mischief,"Argus Filch was the Hogwarts caretaker, a cantankerous, nasty man who detests the students. He knew the secret passageways and hidden doors of Hogwarts better than anyone except Fred and George Weasley (and now Harry, thanks to the Marauders’ Map). Filch was a Squib, which means that he was… ",Pre 1951,
130,131,,,,,Poppy Pomfrey,Female,Matron at Hogwarts School,,Unknown,Non-corporeal,Human ,Pure-blood or half-blood,,,Hogwarts School of Witchcraft and Wizardry,Skilled medical healer,"The Hogwarts school matron (U.S.: “nurse”), who is very adept with curing spells, potions, herbs, and other remedies. Harry thinks of her as “a nice woman, but very strict” (PS17). Among other things we’ve seen her regrow bones (CS10), cure a poisonous dragon bite (PS14), fix Eloise… ",pre 1954,
131,132,,,,,Rolanda Hooch,Female,Flying Instructor at Hogwarts,,Unknown,Non-corporeal,Human ,,Grey,Yellow,Hogwarts School of Witchcraft and Wizardry,Teaching  flying  refereeing Quidditch matches,"Madam Hooch is the Quidditch coach and flying instructor at Hogwarts. She teaches basic broom skills to First Years and referees the Quidditch matches between the House teams. Hair: gray, cut short. Eyes: yellow, hawk-like. Expertise: Quidditch coach and Referee, Flying teacher (PS9, CS10,… ",pre 1918,
132,133,,,,,Irma Pince,Female,Librarian at Hogwarts,,Unknown,Non-corporeal,Human ,,,,Hogwarts School of Witchcraft and Wizardry,,"Librarian at Hogwarts who looks like an underfed vulture (CS10) with a shriveled face, and who spends more time policing the library than helping with research (OP29). Pince is highly suspicious of the students and places nasty spells on books to make sure they’re returned on time:… ",Pre 1966,
133,134,,,,,Aurora Sinistra,Female,Astronomer at Hogwarts,,Unknown,Unknown,Human,Pure-blood or half-blood,Dark,Dark,Hogwarts School of Witchcraft and Wizardry,,Aurora Sinistra was a professor of Astronomy at Hogwarts. ,Pre 1968,
134,135,,,,,Septima Vector,Female,Professor of Arithmancyat Hogwarts,,Unknown,Unknown,Human ,,Black,,Hogwarts School of Witchcraft and Wizardry,,"Professor Vector was the Arithmancy professor at Hogwarts. She had a reputation for being a strict teacher and was known to give a lot of complicated homework. Hermione Granger loved her class, but others were a bit less enthusiastic about taking Arithmancy from Vector (PA12, GF13, HBP24). ",Before 1974,
135,136,,,,,Wilhelmina Grubbly-Plank,Female,Substitute professor of Care of Magical Creatures at Hogwarts,,Unknown,Non-corporeal,Human ,,Grey,,Hogwarts School of Witchcraft and Wizardry,,"Wilhelmina Grubbly-Plank is an elderly witch with closely cropped gray hair and a very prominent chin who teaches Care of Magical Creatures. Professor Grubbly-Plank was the supply teacher (US: “substitute”) who covered for Hagrid when he was indisposed after Christmas break (January 1995, GF24) and again when he was off negotiating… ",,
136,137,,,,,Fenrir Greyback,Male,,,Unknown,None,Werewolf,,Grey,,Lord Voldemort | Death Eaters,Physical combat,"Fenrir Greyback was a werewolf, low-level Death Eater, and friend of the Malfoy family. He killed for fun and especially enjoyed infecting children. Greyback was a follower of Voldemort since at least 1970s, though he was in it for the access to victims, not for ideological reasons. ",Pre 1945,
137,138,,,,,Gellert Grindelwald,Male,Revolutionary leader(c. 1920s[6] – 1945),,"15""  Elder  Thestral tail hair core",,Human ,Pure-blood or half-blood,Blond,Blue,Gellert Grindelwald's Acolytes,Duelling,"Gellert Grindelwald was a brilliant, ambitious, and ultimately dangerous wizard who tried to take over the wizarding world, starting in the early 1920s and ending with his defeat by Albus Dumbledore in a famous duel in 1945. Two years younger than Dumbledore (DH18), as a teenager Gellert was blond, wore… ",1883,March  1998
138,139,,,,,Dobby,Male,Malfoy family's house-elf (unknown - 1993),,,,,,,,,,"Dobby was a house-elf, for years indentured to the Malfoy family, until his admiration for Harry Potter goaded him into trying to warn Harry against coming to school in his second year because he knew what Lucius was planning with the diary. Dobby interfered with Harry’s life a number of… ",,
139,140,,,,,Kreacher,Male,Black family's house-elf,,,,,,,,,,"Kreacher was an aged House-Elf whose family served the Black family for generations. He was devoted to Sirius Black’s mother, who died in 1985 but whose portrait still shrieks orders from the wall of the front hall of the Black family home, number twelve, Grimmauld Place. Kreacher continued to live there… ",,
